articulationpoint	averagebetweenness	averagecloseness	averagenodeconnectivity	averageeccentricity	averagepathlength	clusteringcoefficient	cohesiveness	compactness	globalefficiency	networkcentralization	networkdensity	networkdiameter	networkheterogeneity
GADD45B	1	7312.96262740656	4.0362741428278e-05	27.1311815779539	4.22885994714987	2.38045542754253	0.0316826959341732	0.999999652152256	28.3405734558511	0.439834130820333	0.773371290082307	0.00256075333439867	6	3.66995503469669
MCL1	1	7313.01812004527	4.03625914615476e-05	27.1243865609664	4.22885994714987	2.38046590279288	0.0316776708190848	0.999999652065115	28.3383014341516	0.439832430670571	0.773371931424165	0.00256011199254048	6	3.67072053911499
PRDX1	1	7313.03812759533	4.03625153980039e-05	27.1153265383163	4.22885994714987	2.38046967958383	0.0316665304919973	0.99999965194886	28.3119477782387	0.439831321980527	0.773372786546643	0.00255925687006289	6	3.67136715737965
PSMA3	1	7313.65524726312	4.03610440698495e-05	27.0919214798037	4.22885994714987	2.38058617220635	0.0315963372219459	0.999999651648175	28.2594566737131	0.439816713935093	0.773374995613044	0.00255704780366245	6	3.67398276184606
PPP2R5A	1	7312.9757455644	4.03627048524609e-05	27.1287278218196	4.22885994714987	2.38045790383471	0.0316811398602149	0.999999652120793	28.3412735882799	0.439833682474866	0.773371521677978	0.00256052173872766	6	3.67026878581212
EIF2AK2	1	7313.04860324649	4.03624858446159e-05	27.1185352963382	4.22885994714987	2.38047165705456	0.0316706613806691	0.999999651990043	28.3155591363504	0.439831109684499	0.773372483690766	0.00255955972594037	6	3.6712704970763
MAPK1	1	7313.24311060773	4.0361983383538e-05	27.0987164967912	4.22885994714987	2.38050837387594	0.0316498490941596	0.999999651735524	28.2894956400685	0.439825438559717	0.773374354271185	0.00255768914552065	6	3.67353853363428
APOD	1	7312.28029445069	4.03649006882888e-05	27.1311815779539	4.22876557191393	2.38032662471935	0.0316793350628824	0.999999652152256	28.3441349414138	0.439854992542609	0.773465674225771	0.00256075333439867	6	3.67022317580413
PTPN11	1	7313.14175160437	4.03622975068445e-05	27.1160815402039	4.22885994714987	2.3804892405105	0.0316629032127915	0.999999651958551	28.3240719099837	0.439829437444963	0.773372715286437	0.00255932813026936	6	3.67166830216265
GAB1	1	7312.3593808984	4.03646968547236e-05	27.1223103057758	4.22876557191393	2.3803415537326	0.0316691138001002	0.99999965203848	28.3531146649104	0.439852530799401	0.773466511533197	0.0025599160269727	6	3.67136136760277
PTPRB	1	7312.32474518683	4.03647831375336e-05	27.1292940732352	4.22876557191393	2.38033501560866	0.0316784503291244	0.999999652128055	28.3550173901842	0.439853656413743	0.773465852376287	0.00256057518388251	6	3.67046272356108
PTPN6	1	7313.05889014718	4.03625060116446e-05	27.1223103057758	4.22885994714987	2.38047359889518	0.0316757012905427	0.99999965203848	28.3414980848212	0.439831473111545	0.773372127389733	0.0025599160269727	6	3.67108471122054
DNAJB2	1	7312.96998867496	4.03627193803159e-05	27.1298603246508	4.22885994714987	2.38045681711656	0.031682422308052	0.999999652135315	28.3438652047634	0.439833859140795	0.773371414787669	0.00256062862903736	6	3.67011083874405
PTPRA	1	7312.97612306531	4.03627060853663e-05	27.1311815779539	4.22885994714987	2.38045797509491	0.0316834740592741	0.999999652152256	28.3462662933834	0.439833764127187	0.773371290082307	0.00256075333439867	6	3.66992659486856
