Interactor_A	Interactor_B
NBN	TERF1
TERF1	MAPRE1
TERF1	TNKS
TERF1	TINF2
COPB1	RGS4
COPB1	ADAM19
COPB1	COPG2
COPB1	COPE
E2F5	EP300
DLG1	MYO6
DAB2	MYO6
SMAD2	SMAD4
SMAD3	SMAD4
SMAD4	DCP1A
SMAD4	COPS5
SMAD4	UBE2I
SMAD4	PIAS1
GNAQ	RIC8A
BPTF	MAZ
LEPR	DGKZ
DLG1	ADAM17
DLG1	KIF1B
DLG1	LRRC1
DLG1	SEMA4C
DLG1	TJAP1
DLG1	DLGAP4
DLG1	PBK
NPC2	DHDDS
DTNA	SNTA1
AMFR	VCP
VCP	NSFL1C
VCP	TOMM34
AP2M1	RALBP1
AP2B1	BUB1B
AP2B1	ATM
AP2A1	AP2S1
BNIP3	CD47
PDPK1	PKN1
IDH3B	ATXN2
PLXNB1	ARHGEF12
PLXNB1	ARHGEF11
PLXNA1	PLXNB1
PLXNA2	UBAP2L
PLXNA2	DHX37
PLXNA2	FNBP4
PLXNA2	HACE1
ANXA11	PDCD6
PDCD6	CPNE2
PDCD6IP	PDCD6
SNRPD2	SNRPF
SNRPD2	LSM2
SNRPD2	LSM6
SNRPD3	LSM3
SNRPD3	LSM7
SNRPD1	NAA38
TXNRD1	TXNIP
MPP3	CADM1
THOP1	MPHOSPH6
CDH5	PKP4
NR3C1	YWHAH
BRAF	YWHAH
MAPK8	MAPK8IP3
MAPK8	DUSP10
CSPG4	MPDZ
ARF4	RAB11FIP3
RAN	RANBP1
YWHAH	ZFP36
RAN	GADD45G
RAN	XPO5
RAN	RANGRF
RAN	GIT1
RAN	NUTF2
DNAJB1	DNAJC3
DNAJC3	PRKRIR
PCBP1	PABPC1
HNRNPD	PCBP2
HNRNPL	PCBP2
PTK2B	RB1CC1
PTK2B	ARHGAP21
PTK2B	PITPNM1
PTK2B	PITPNM2
MAP3K5	YWHAH
MTOR	GPHN
MTOR	UBQLN1
IGFBP6	UBQLN4
DAB2	MIB1
DAB2	DIP2A
DTNA	SYNM
DTNA	SYNC
HDAC1	HR
BAD	YWHAH
HDAC1	TXNIP
HDAC1	EED
YWHAH	EPB41L3
PRPF40A	MAP1LC3A
CHAF1A	CBX5
CHAF1A	CBX1
CHAF1A	ZNF408
NEK1	YWHAH
SOS2	SH3D19
RFC2	RFC4
BIN1	ITGA3
BIN1	SNX4
BIN1	RIN3
BIN1	ITGA6
MAP2K2	CNKSR1
C1QBP	TOP3B
C1QBP	EXOSC6
LIMK1	YWHAZ
MLF1	YWHAZ
ATXN1	YWHAZ
BAD	YWHAZ
GABBR1	YWHAZ
TPD52L1	YWHAZ
IMPDH2	UBQLN4
YWHAZ	BSPRY
ITGB4	ATXN1
TESK1	YWHAB
MAPK7	YWHAB
BAD	YWHAB
YWHAB	EPB41L3
KPNA1	TAF9
LYST	YWHAB
PTPN3	YWHAB
TPD52L1	YWHAB
KPNA1	ANP32A
SFN	HDAC5
PDE6D	RHEB
KPNA3	COIL
BMPR1A	ZMYND11
NHP2L1	RAD17
HCLS1	HAX1
NDN	NUCB1
NUCB1	PTGS1
RFC4	RFC5
STMN1	UBQLN4
HNRNPD	SAFB
HNRNPD	LSM5
MATN2	ATXN1
MBP	APTX
MBP	ATXN1
DVL1	SMAD2
DVL1	AXIN1
DVL1	DAAM1
DVL1	BRD7
DVL1	VANGL1
SMAD2	SNW1
SMAD2	ZFYVE9
SMAD2	NUP153
SMAD2	ZEB2
SMAD2	PARD3
SMAD2	SMURF2
SMAD2	SNIP1
DVL3	VANGL1
DAXX	TSG101
TSG101	TOM1L1
TSG101	DMAP1
TSG101	GGA3
ATF1	BRCA1
TSG101	AATF
TSG101	VPS37A
TSG101	GMCL1
TSG101	VPS37C
MLF1	NRBP1
MLF1	COPS3
DOCK1	NCK2
DOCK1	ELMO2
MYBL2	ZNF622
TDG	SUMO1
RAD23B	TDG
NR2C1	NR2C2
NR2C2	NR2C2AP
UPF1	NAA38
UPF1	GNPTG
UPF1	UPF2
UPF1	ACSS2
UPF1	PLEKHB2
SKP1	SKP2
SKP1	BTRC
SKP1	FBXL3
SKP1	RBX1
SKP1	FBXO7
SKP1	CACYBP
SKP1	CDCA3
SKP1	CUL7
SKP1	FBXO4
SKP1	FBXW2
SKP1	FBXW8
BRCA1	JUNB
SKP1	FBXO9
SKP1	FBXO17
CFL1	WDR1
BLOC1S1	MTA1
BLOC1S1	SNAPIN
BLOC1S1	PBX2
BLOC1S1	BLOC1S2
BLOC1S1	BLOC1S3
CDC20	MAD2L1
MAD2L1	ADAM17
MAD2L1	UBD
MAD2L1	MAD2L1BP
CALM1	MYO10
PPARG	NCOA4
PPARG	BRD8
PPARG	MED1
PPARG	NCOA6
PPARG	NCOA2
BRCA1	MYC
BAG1	SIAH1
BAG1	PPP1R15A
BAG1	RARA
BAG1	HSPA8
PEX1	PEX6
AP3S1	AP3S2
STAT5A	NMI
STAT5A	CENPJ
GRB7	RND1
GRB10	NEDD4
GRB10	GIGYF1
GRB10	GIGYF2
NR2C1	NRIP1
PAFAH1B1	PAFAH1B2
PAFAH1B1	PAFAH1B3
PAFAH1B1	NDEL1
PAFAH1B1	NDE1
COL8A1	UBQLN4
ATXN1	USP7
ATXN1	YWHAE
ATXN1	UBQLN4
ATXN1	ANP32A
DYNLL1	BCL2L11
EZH2	EED
BRCA1	KPNA2
PTP4A1	ATF7
BRCA1	VCP
SMAD1	PSMB4
COPB1	UBQLN4
SMAD1	ZEB2
SMAD1	SMURF2
SMAD1	SNIP1
SMAD1	NEDD9
BTG2	CNOT7
BTG2	PICK1
TFAP2C	CITED2
TFAP2C	UBE2I
RALGDS	MRAS
RALGDS	RIT1
BRCA1	RBBP7
UBE2L3	UBE3A
UBE3A	UBE2L6
NSF	NAPG
BRCA1	BAP1
BRCA1	DHX9
PDPK1	PRKACA
NEK1	PPP2R5A
PPP2R1A	PPP2R5A
PSMD4	RAD23B
ID1	PSMD4
BRCA1	BRAP
EZH1	EED
GTF2I	ZBTB17
GTF2I	PIAS2
PSMC5	THRB
SERPINB8	CAP1
RND3	ROCK1
VASP	ZYX
BRCA1	FANCA
MDK	UBQLN4
TRAF1	TANK
TRAF1	TNFRSF12A
TRAF1	TRAIP
TRAF1	HIVEP3
BIRC2	TRAF2
PPP1CA	STAU1
BIRC3	TRAF2
FZD5	GOPC
PTEN	MVP
PTEN	MAGI3
PTEN	MAGI2
TEAD2	NCOA1
SMARCD1	TNIP2
SMARCD2	XRN1
ARHGAP1	SMARCD3
ZNF354A	TRIM28
TRIM28	CBX5
TRIM28	CBX1
SETDB1	TRIM28
TRIM28	ZNF197
DST	ITGB4
TRIM23	TRIM29
TRIM23	TRIM27
LYST	DGCR14
PEX7	PEX14
PEX7	PHYH
DST	ERBB2IP
PEX10	PEX12
DST	KIAA1549
DST	CELSR3
CASP8	FADD
HIP1	IFT57
HIP1	HIP1R
DNM1	SH3GL1
SH3GL1	PDCD6IP
SH3GL1	SYNJ1
SH3GL1	SH3D19
VDR	NCOA1
VDR	SNW1
MED1	VDR
VDR	NCOA6
TESK1	SPRY4
RERE	ECM1
NEK2	PPP1R2
MAPK3	PEA15
MAPK3	RPS6KA4
SP3	STK19
SP3	PIAS1
MCM3	MCM6
MCM6	CDT1
MCM4	MCM6
BLMH	RPL29
KIF3B	KIFAP3
RAP1GDS1	KIFAP3
AIP	TOMM20
RFX5	RFXAP
S100A4	METAP2
CSRP2	PIAS1
CSRP2	CSRP2BP
TRAF2	TNFRSF14
TRAF2	RIPK1
TRAF2	BCL10
TRAF2	TNFSF4
TRAF2	TNFRSF12A
TRAF2	TRAIP
TRAF2	RIPK3
TRAF2	HIVEP3
TRAF2	TIFA
TRAF2	TAOK3
CDK9	TRAF2
TRAF2	TNIK
TRAF3	RIPK1
TRAF3	TRADD
TRAF3	TANK
TRAF3	NUP62
TRAF3	TNFRSF12A
TRAF3	TRAF3IP1
ZNF148	PTRF
STAM	STAMBP
DNMT3B	SUMO1
DAXX	SUMO1
SUMO1	HIPK2
SP100	SUMO1
CHD3	SUMO1
SUMO1	TOPORS
RAD52	SUMO1
SUMO1	PIAS1
COPA	COPE
ARHGDIA	RAC1
BCL2L2	BCL2L11
NCOA3	SUFU
NCOA3	MMS19
ZYX	RPH3AL
ZYX	VAV3
ZYX	NEBL
NEDD9	ZYX
ZYX	BSPRY
PTK6	STAP2
SORL1	GGA2
CD99	UBQLN4
SORL1	GGA1
CRKL	GAB1
ENTPD2	STX7
KLF2	WWP1
PSMB1	EXOSC6
PSMB1	DCP2
IL16	PPP1R12A
PPP1R12A	MPRIP
ATXN3	C16orf70
TERF2	TERF2IP
TERF2	TINF2
ARHGDIB	RHOH
RING1	CBX4
RING1	ELAC2
RING1	CBX8
RAC1	ARFIP2
RAC1	RALBP1
RAC1	SYNJ2
RAC1	DOCK8
RAC1	RAP1GDS1
RAC1	CDC42SE1
RAC1	CDC42SE2
RAC1	RCC2
RAC1	PARD6B
RAC2	CUL1
RAC3	CIB1
RAC3	ANKRD11
TALDO1	NAA38
TALDO1	ZHX1
BAD	S100A10
DAP3	FADD
DAP3	TNFRSF10A
POLR2J	SATB1
PLK1	GORASP1
MLLT10	YEATS4
PFDN1	YEATS4
TACC1	YEATS4
NDN	NUCB2
CHD1	SAFB
CHD1	SSRP1
DIAPH1	BAIAP2
ACTN4	CAMK2G
PA2G4	EXOSC5
DVL2	VANGL1
CLNS1A	PRMT5
MYD88	PELI2
SIPA1	RFWD2
ELF3	EPS15
SLC29A1	STK19
EIF3E	EIF3C
EIF3E	TRIM27
EIF3E	COPS8
SIAH1	TUBA1A
SIAH1	TUBA1B
KIF22	SIAH1
SIAH1	NUMB
SIAH1	CACYBP
SIAH1	KHDRBS3
SIAH1	PEG10
SIAH2	PEG10
STK11	STK11IP
STK11	STRADA
STK11	TNIP2
NF2	SDCBP
SDCBP	NFASC
PPP3CA	RCAN2
SUMO3	PIAS4
APAF1	AVEN
APAF1	APIP
EXOSC9	EXOSC2
EXOSC7	EXOSC2
RNF8	EXOSC2
EXOSC2	EXOSC4
EXOSC2	ZNF408
CRY1	PER1
ATOX1	ATP7B
TCF4	MSC
TADA2A	TADA3
NEDD4	UBE2D2
PPP3CB	CABIN1
NEDD4	DAZAP2
NEDD4	N4BP2
PABPN1	SNW1
RTKN	TAX1BP3
TTF2	DRAP1
PLK3	CIB1
CIB1	PLK2
CIB1	UBR5
EXOSC10	CIB1
RAB7A	RABAC1
HDAC3	HR
HDAC5	HR
NR1D2	NCOA5
ATN1	WWP1
ATN1	WWP2
PLCB2	MAP2K3
DCTN1	MAP2K3
ATXN3	ARHGAP19
TGFB1I1	GIT1
HSPB1	TGFB1I1
ATXN3	PICK1
TRAF6	TAX1BP1
MLLT6	UBQLN4
TRAF6	ECSIT
TRAF6	ZNF675
TRAF5	TNFRSF14
ILK	LIMS1
TRIM37	APTX
ILK	PARVA
ILK	PARVB
ILK	ILKAP
DNM1	NCK2
DNM1	PACSIN3
CAPNS1	IL2RG
DNM1	PIAS1
DNM2	SHANK2
DNM2	MPHOSPH6
MYO5B	COIL
PLD1	PEA15
PLD1	ARIH1
BLMH	UBE2I
BLMH	RPL11
SLBP	ZNF473
MAP3K4	GADD45B
MAP3K4	GADD45G
ROBO1	SRGAP1
ROBO1	SRGAP2
EPS15	ITSN1
MAP3K5	MAP3K7
DAXX	MAP3K5
MAP3K5	MAP3K6
MAP3K5	YWHAE
MAP3K5	DAB2IP
AKAP1	PTPN21
AKAP1	MYCBP
TRADD	FADD
FADD	MBD4
FADD	XPO5
SORT1	GGA2
SORT1	GGA1
NARS	ATXN1
PKMYT1	STEAP3
RPP30	POP1
RPP38	POP1
UBA52	KHDRBS1
KHDRBS3	KHDRBS1
KHDRBS1	YTHDC1
CTBP1	NRIP1
NRIP1	TNFRSF14
NRIP1	NR1H3
GOLGB1	ACBD3
ARL1	GOLGA1
PXN	TUBA1B
ARL1	GOLGA4
ARL3	GOLGA4
GOLGA4	MACF1
RGS16	GDE1
RGS4	COPB2
NME3	UBQLN4
MAPK7	MAP2K5
MAPK7	SGK1
PIAS2	PARK7
VAMP8	SNAP23
SNAP23	SNAPIN
SNAP23	STXBP5
KIF5B	SNAP23
STX3	SNAP23
NPHP1	UBQLN4
PTPRK	GADD45G
PKN2	MAP3K2
ARNTL	HIF1A
ARNTL	EPAS1
ARNTL	CRY1
ARNTL	NPAS2
ARNTL	BHLHE40
XPO1	RANBP3
OAT	UBQLN4
OAZ1	ATXN1
LIMS1	NCK2
LMX1B	LDB1
SERPINE1	UBQLN4
GOLGA2	RAB1B
GOLGA3	GOLGA7
PAK1	OXSR1
CDK11B	PAK1
PAK1	RHOJ
BCL9	PYGO2
MAGOH	RBM8A
PCBP1	PUF60
PCBP1	RALY
PCBP1	PCBP2
CALM1	YWHAE
CTBP1	RBBP8
PCBP1	PCBP4
CTBP1	FOXP1
CTBP2	FHL3
CALM1	LYST
ATN1	MAGI1
MAGI1	NET1
PCBP1	PTBP1
IL1RAP	TOLLIP
FHL2	ITGA3
FHL2	SFPQ
FHL2	FHL3
FHL2	ZNF638
FHL2	REV1
FHL2	CARD8
CDC5L	PPP1R8
PPP1R8	SF3B1
PPP1R8	EED
EIF4A1	UPF2
PCBP1	UGP2
NXF1	NXT1
MNAT1	MTA1
NBN	RAD50
PDE6D	RAB13
PCBP1	RBM42
ARL3	PDE6D
PDE6D	RND1
RNF5	UBE2E1
RNF5	UBE2D2
RNF5	UBE2D3
RNF5	UBE2E3
RNF5	FHOD1
RNF5	MPDZ
RND3	ARHGAP5
ARHGAP1	BAI2
BAI2	SHANK2
BAI2	STARD13
MLX	MAD1L1
MAD1L1	NDC80
MAD1L1	SIN3B
AURKA	TACC1
AURKA	CKAP5
AURKA	AURKAIP1
EP300	NCOA1
SMARCE1	NCOA1
NCOA1	TRIP4
RARA	NCOA1
NCOA1	KAT2B
MCM3	MCM5
MCM3	MCM3AP
MCM3	MCM4
MCM3	DBF4
MCM5	CDC7
EP300	CITED2
EP300	TADA3
EP300	JMY
EP300	TRIP4
PCBP1	TSC22D4
PSMA7	PSMC1
PSMC1	ATXN7
PSMC4	PSMD10
ADAM9	MAD2L2
ADAM9	SNX9
ADAM12	SH3D19
TRA2B	YTHDC1
TRA2B	TNPO3
ACVR2B	SYNJ2BP
FYB	SKAP1
FYB	SKAP2
ARHGAP1	EPB41L1
ARHGAP1	BNIP2
ARHGAP1	TAX1BP1
ARHGAP1	KIF1B
ARHGAP1	HSP90AB1
ARHGAP1	BNIPL
LYST	KPNB1
KPNB1	PIAS4
CHD3	KPNB1
PRKAA1	PRKAB2
PRKAA1	TOMM34
PRKAB1	PRKAG1
PRKAB1	PRKAG2
PRKAB2	PRKAG1
PRKAB2	PRKAG2
PRKAG1	PRKAG2
CALM1	KCNN4
DNMT3A	UBE2I
DNMT3A	PIAS1
RAD51C	XRCC3
REV3L	MAD2L2
REV3L	REV1
CALM2	IQCB1
DNAJA1	PTTG1
DNAJA1	LSM2
UBE2K	TRIM3
UBE2K	PIAS4
THRB	BRD8
RNF4	TCF20
RNF4	TRPS1
RNF4	PATZ1
BUB1B	CDC20
BUB1B	AP4B1
CDC5L	TTF2
PPL	PPHLN1
CLIC1	LSM1
UGCG	RTN3
PCBP1	PDLIM7
EPB41L1	STARD13
DLG4	SHANK2
DLG4	FZD1
DLG4	SEMA4F
DLG4	HGS
DLG4	FZD4
DLG4	KIF1B
PCBP1	QKI
DLG4	LRRC1
DLG4	SEMA4C
DLG4	NLGN2
PCBP1	MATR3
DLG4	CIT
PCBP2	QKI
DLG4	NDOR1
DLG4	SIPA1L1
DLG4	SYNGAP1
DLG4	DLGAP4
SAFB	TJP2
SAFB	SAFB2
POLR2A	SAFB
SAFB	SRPK1
PEPD	ATXN1
MAPK11	HDAC3
DNMT3B	UBE2I
PIN1	UBQLN4
RBBP9	YRDC
EIF6	XRN2
PBX2	UBE2E1
UBE2E1	RNF8
UBE2E1	UBOX5
RND3	UBXN11
PPIB	UBQLN4
SMAD7	PARD3
SMAD7	SMURF2
SMAD7	PIAS4
SMAD7	YAP1
TRIP6	PDLIM4
TRIP6	LPAR2
RERE	TRIP6
TRIP6	NUP210
THRB	TRIP6
TPM4	TRIP6
TRIP6	SYNGAP1
BCAR1	SRCIN1
PPIC	UBQLN4
NEDD9	BCAR1
E2F6	RYBP
TADA3	MAGEH1
PPL	USP7
TADA3	PIAS4
TADA3	ING5
TAF9	TAF6L
SAP18	SUFU
BTG1	PRMT1
SRGN	UBQLN4
FANCF	FANCG
FANCA	FANCG
UBE2D1	UBOX5
TSNAX	C1D
TSN	TSNAX
TSNAX	SUN1
MNT	MLX
MLX	MLXIP
DAXX	PML
PCDH7	PPP1CA
UBE2N	UBE2V2
PRNP	PSMA3
PRNP	TSC22D4
IKZF1	IKZF4
CHD3	IKZF1
PSAP	ZBED1
SMARCA4	ARID1A
PSMA1	COIL
TLR3	RNF216
TLR3	TICAM2
TLR4	RNF216
TLR4	TICAM2
TLR5	RNF216
IL16	PPP1R12B
IL16	PPP1R12C
MNT	SIN3A
PSMC3	ATXN1
SUMO2	PIAS4
SUMO2	SENP3
ABI1	NCKAP1
ABI1	ENAH
SMAD3	SNW1
HDAC2	SNW1
CIR1	SNW1
RARA	SNW1
KIF1C	PTPN21
TGOLN2	PPP1R9B
AP1M1	TGOLN2
AP1M2	TGOLN2
TGOLN2	AP3M1
TGOLN2	PPP1R9A
PTBP1	QKI
PTGDS	ATXN1
NEDD8	UCHL3
QSOX1	UBQLN4
SMAD3	ZFYVE9
SMAD3	ZEB2
SMAD3	ERBB2IP
SMAD3	SMURF2
SMAD3	NEDD9
SMAD5	ZEB2
DHX9	MBD2
DHX9	AKAP8L
UBE2G2	CUL9
PNN	SRRM2
PNN	PRPF4B
PNN	PPIG
PNN	ZCCHC17
BAD	YWHAE
BAD	MCL1
BAD	PPP1CA
NEDD8	NUB1
NAE1	UBA3
UBE2M	CPNE2
RAD23A	UBQLN4
DAXX	UBE2I
DAXX	MCRS1
STX5	GOSR1
STX5	GOSR2
INADL	NLGN2
RAD23A	ATXN7
MVD	BTAF1
SMARCA4	CBX5
FANCA	SMARCA4
SMARCA4	ARID1B
SMARCA4	MPHOSPH6
EEF1G	HLTF
CHD4	XRN1
CHD4	TRIM27
THRA	OASL
DAPK3	AATF
ARHGEF7	SHANK2
SHANK2	LPHN2
LPHN1	SHANK2
BNIP2	BNIPL
MCM3AP	CLSTN1
TNKS	TNKS1BP1
MCL1	TNKS
TNKS	FNBP1
RARA	UBE3A
PPP1R9A	PPP1R9B
RCN1	ATXN1
HIF1A	HIF1AN
BIRC5	INCENP
BIRC5	AURKB
CDK6	CDC37
GLE1	NUP155
SAP30	CIR1
FLNB	NPHP1
FLNB	FBLIM1
PABPC4	PHLDA1
PABPC4	SETDB1
PABPC4	XRN1
PABPC4	MED31
PABPC4	RIF1
ITGA3	RABIF
RABIF	RAB15
PDLIM4	ZNF408
CRY1	PER2
RIPK1	RIPK3
RIPK1	RNF216
RIPK1	TRIM38
RIPK2	NOD1
CDK5R1	CDK5RAP2
CDK5R1	CDK5RAP3
CDK5R1	LMTK2
BTRC	UBE2R2
TRADD	HIPK2
BCL10	MALT1
BCL10	C9orf89
STAT5B	NMI
NMI	LSM4
DPH1	RBM8A
AP1G1	AP1S1
AP1S1	AP1G2
AP2A2	AP1S1
AP1G1	AP1S2
AP1S2	AP1G2
AP1G1	SYNRG
AP1G1	AFTPH
AP1G1	RABGEF1
AP1G2	XRN1
AP1G2	AFTPH
VAMP4	AP1M1
GABBR1	ATF5
SNRPF	LSM5
SNRPG	TACC1
MBD2	MBD3
MBD2	HINFP
MBD2	SIN3A
MBD2	GPN1
MBD2	GATAD2A
MBD2	GATAD2B
CAPN1	PSEN2
MBD3	GATAD2A
MBD3	GATAD2B
TOP3B	FBLN5
TOP3B	CHD8
TOP3B	ZNF408
MADD	VPS13D
MADD	NPDC1
RABEP1	GGA2
RABEP1	GGA3
RABEP1	GGA1
CDC20	FBXO5
RPS10	PTTG1
RPL5	PPM1D
RPL5	UPF2
RPL5	PDCD4
STX16	VPS45
RPS20	MPHOSPH6
USO1	GBF1
MPDZ	CLDN1
UBE2L3	ARIH1
UBE2L3	CUL9
UBE2L3	RNF144A
UBE2L3	UBOX5
PBX2	IKBKAP
NUMB	LNX2
NUMB	LNX1
SPHK1	RPS6KC1
ZFYVE9	LRP12
PPP1CA	PPP1R10
PTTG1IP	PTTG1
ZFP36	NUP214
GSK3B	AXIN1
AXIN1	PIAS1
MCL1	BCL2L11
DYRK1B	RANBP9
RANBP9	DISC1
RANBP9	HIPK2
RANBP9	MPHOSPH8
RAB27A	SYTL4
RAB27A	MLPH
BYSL	TROAP
DYNLT1	TROAP
HSPA8	BAG2
TIMELESS	TIPIN
UBE2L6	ARIH1
IKBKE	TANK
NUP214	XPO5
EIF3I	EXOSC6
EIF3H	DISC1
EIF3G	MPHOSPH6
EIF3F	CDK19
EIF3D	PHLDA1
GPHN	GABARAP
CRIP2	ATN1
NUP153	XPO5
TPR	NUP153
ZW10	DCTN2
ZW10	RINT1
POLH	REV1
AKAP9	TUBGCP3
AKAP9	FNBP1
RPN1	UBQLN4
ARL3	UNC119
ARL2	UNC119
GSK3B	AXIN2
AXIN2	ANKRD6
ERN1	TAOK3
ATXN1	UBE2E3
RAB5C	RABAC1
RAB5C	RIN3
RAB5C	RIN2
ATXN1	IPO8
NEK2	NDC80
NEK2	CEP250
NEK2	PPP1CA
ATXN1	ARID5A
TPD52	MAL2
ATXN1	BTG3
ZBTB17	DIS3
DLG5	SORBS3
ATXN1	RBPMS
ATXN1	PIM2
PLCB2	TRPM7
ATXN1	NUDT21
ATXN1	RAPGEF4
UBE2E3	IPO11
RNF8	UBE2E3
UBE2E3	UBOX5
ATXN1	ZHX1
ATXN1	DCTN3
MYO5B	RAB11B
RAB11B	RAB11FIP2
RAB11B	RAB11FIP3
RAB11B	RAB11FIP5
ATXN1	ATXN2L
CPNE1	MYCBP
ATXN1	ACOT7
CPNE1	UBE2O
BCOR	CPNE2
MYCBP	CPNE2
ATXN1	U2AF2
UBE2O	CPNE2
ATXN1	FAM46B
KRIT1	ITGB1BP1
STAT5B	CENPJ
STAT5B	ELP2
PKP4	ERBB2IP
PLXND1	MACF1
ARHGEF12	PLXNB2
ARHGEF11	PLXNB2
PLXNB2	RND1
GRHPR	LSM1
EXOSC10	SSRP1
RAB3D	RAB3IP
COPE	COPG2
COPZ1	COPG2
COPG2	COPZ2
ATXN1	SIX5
CHEK2	MUS81
LYST	HGS
ATXN1	KIAA2026
NF2	HGS
HGS	VPS37A
HGS	VPS37C
MPZL1	EXOSC4
BECN1	GOPC
PML	TRIM27
ATXN1	USP54
GNA13	RIC8A
INCENP	CBX5
SP100	CBX3
MKI67	CBX3
HDAC4	CBX5
MKI67	CBX5
TAF4	CBX5
CBX5	ARL5A
THRB	ZNHIT3
TRIP4	ASCC3
TRIP4	ASCC2
THRB	JMJD1C
TRIP10	RHOQ
THRB	TRIP10
TRIP10	ARHGAP17
THRB	TRIP12
TRIP12	CLSTN1
CELSR3	TRIP12
THRB	TRIP13
THRA	COPS2
THRB	COPS2
COPS2	NIF3L1
GPS1	COPS2
CBX1	ARL5A
LOXL1	FBLN5
ACTN4	TRIM3
ATXN1	R3HDM2
ATXN1	ZHX2
PABPC1	ANAPC5
ITGAE	EED
KIF3A	PPP1R15A
NEK1	KIF3A
CTNNAL1	AKAP13
ARL3	ARL2BP
ATXN1	TRIM32
GSK3B	AKAP11
TOM1	TOLLIP
ZFYVE16	TOM1
TBC1D4	NFAT5
TTF2	TACC3
TTF2	PRDX4
TTF2	DCP1A
TTF2	PDCD6IP
TTF2	TNIP1
TTF2	CLPB
STK16	NAGK
CNOT2	CNOT1
CNOT3	CNOT8
CNOT4	CNOT8
CNOT4	CNOT1
TOB2	CNOT7
CNOT7	CNOT6
RABAC1	RAB22A
RABAC1	RAB17
RABAC1	RAB4B
CD3E	NCK2
GADD45B	GADD45GIP1
GADD45G	GADD45GIP1
UTP14A	GADD45G
GADD45G	PIAS4
GADD45G	LUC7L
EEF1G	GADD45G
GADD45G	MED31
GADD45G	LUC7L2
PACSIN2	PACSIN3
NUDT21	EXOSC6
SPTBN2	UNC13B
CELSR3	SPTBN2
DDB1	BRAP
NF2	SLC9A3R1
GSK3B	SGK3
GSK3B	UPF3A
GSK3B	NIN
ZNF219	SUFU
MED23	NCOA6
MED23	MED13
MED23	PUM2
MED23	WDTC1
MED23	FOXJ3
P4HB	UBQLN1
NBL1	UBQLN1
WASL	RHOQ
YWHAE	HDAC4
YWHAE	NDEL1
YWHAE	HDAC5
YWHAE	PAPOLA
EEA1	RAB22A
RGS19	GIPC1
RGS19	OSTM1
RGS19	GDE1
SDC4	GIPC1
HDAC2	DMAP1
TOMM34	DMAP1
XRN2	TARDBP
EXOSC10	TARDBP
RASSF1	EXOSC8
CNKSR1	RASSF1
PARP4	MVP
ULK1	GABARAP
EXOSC4	GADD45GIP1
HDAC2	CIR1
HDAC2	EED
BACH1	PATZ1
YWHAG	DISC1
PCNT	DISC1
ATF5	DISC1
DISC1	NDEL1
ATF4	DISC1
CIT	DISC1
TRAF3IP1	DISC1
SYNE1	DISC1
RERE	ATN1
NEK1	TP53BP1
NOL3	TFPT
SORBS1	SEMA6A
THRA	NCOA6
THRB	NCOA6
RBM39	NCOA6
RPL14	PHLDA1
FXR2	CYFIP2
ARHGAP26	PKN3
BOK	MCL1
NEK1	ZNF350
ADAM15	SNX9
ATN1	BAIAP2
PBX2	BAIAP2
BAIAP2	LIN7C
ARHGEF7	GIT1
HMG20B	KIF4A
MYO5B	RAB11A
RAB11A	RAB11FIP1
RAB11A	RAB11FIP2
RAB11A	RAB11FIP4
RAB11A	RAB11FIP5
RAB11A	RAB11FIP3
IFITM2	UPF3A
EIF4E2	ARIH1
PBX2	NUP62
BOP1	PES1
STX2	UNC13B
RHOQ	GOPC
CDC42EP1	RHOQ
RHOQ	CDC42EP4
CDC42EP2	RHOQ
CDC42EP3	RHOQ
RHOQ	DOCK8
EXOC7	RHOQ
RHOQ	PARD6B
STRAP	PBLD
ATXN1	SPEN
KIF1B	STARD13
FZD8	GOPC
IKZF2	IKZF4
STAM2	STAMBP
STAM2	XRN1
EPS15	STAMBP
MCL1	BMF
XRN2	TOLLIP
ABI3BP	ABI3
SYNJ1	PACSIN3
F11R	PARD3
FXN	PMPCB
GTF3C1	DEDD
CLK4	UBL5
UBE2I	HIPK2
HIPK2	NLK
EXOSC8	FHOD1
ZMYND8	FHOD1
HOMER1	STX12
LYST	ATN1
LYST	ESRRA
LYST	MRPL17
LYST	NCDN
LYST	CNTROB
SCAMP1	SYNRG
VPS29	VPS35
LRRC1	ERBB2IP
TNK2	HSH2D
SNAPIN	DTNBP1
SNAPIN	BLOC1S2
DCP1A	NAA38
DCP1A	DCP2
MELK	ZNF622
RNF19A	SUFU
PIAS1	SUFU
SETDB1	SUFU
ATXN3	RAD23B
ATXN3	RAD23A
MTHFR	NAA38
PLCB1	TRPM7
ERC1	RAB6B
FANCA	SNX5
DTNB	DTNBP1
DTNBP1	CMYA5
MPHOSPH6	DYNLRB1
TBC1D4	RBM12
SEC24B	SEC23A
SEC24C	SEC23A
HSPA8	STUB1
CRK	ATXN1
AP4B1	AP4E1
LSM1	LSM2
LSM1	TMEM214
EXOSC8	LSM1
RRP1B	LSM1
UPF2	LSM1
LSM1	EXOSC6
LSM1	VPS11
NDUFAF3	LSM1
LSM3	LSM2
LSM7	LSM2
LSM2	NAA38
EXOSC10	LSM2
LSM2	ZNF408
LSM3	LSM7
XRN2	LSM3
LSM3	LSM10
LSM4	PLEKHA5
LSM4	XRN1
LSM5	EXOSC5
